Date,Scheme Name,Store Name,Item Name,Member Account Code,Invoice,Sales Qty,Sales Amt
6/26/2021,PLATINUM,TIFFANY - TTP,18W T TWO DI NRW RG 4 5-36815906,60085063,000000P105000000114,1,86652000.00
6/26/2021,PLATINUM,TIFFANY - TTP,18W T TWO DI NRW RG 7 5-36815876,60085063,000000P105000000114,1,86652000.00
6/26/2021,MEMBER,TIFFANY - TTP,18R OLVLF NRW BD RG 6-32080553,60085064,000000P105000000115,1,26176000.00
6/27/2021,MEMBER,TIFFANY - TTP,SS MN RTTL BLHRTBD BLT SM-61002421,60085065,000000P105000000116,1,8485000.00
6/27/2021,MEMBER,TIFFANY - TTP,SS BL MNRTT 2HRT PDT 16IN-27125107,60085066,000000P105000000117,1,5416000.00
6/27/2021,MEMBER,TIFFANY - TTP,SS MN RTT HRT4MM BD BLTSM-27631886,60085066,000000P105000000117,1,6229000.00
6/27/2021,MEMBER,TIFFANY - TTP,SS PINK MN RTT 2HRT PDT16-28751249,60085066,000000P105000000117,1,5416000.00
6/27/2021,MEMBER,TIFFANY - TTP,SS MINI RTT HEART STUD ER-23900564,60085067,000000P105000000118,1,6229000.00
6/28/2021,PLATINUM,TIFFANY - TTP,18R GRAFFITI X MN ER-60962332,05002597,000000P105000000119,1,15074000.00
6/28/2021,PLATINUM,TIFFANY - TTP,PT RDDI 40TW F VVS2 VVS2-69142087,05002597,000000P105000000119,1,81236000.00
6/28/2021,PLATINUM,TIFFANY - TTP,ST BLK T SQR BLT MD-36537973,05002597,000000P105000000120,1,43326000.00
6/28/2021,PLATINUM,TIFFANY - TTP,CLRBLK PIGGYBANK ERTHNWRE-60559961,05002597,000000P105000000121,1,6680000.00
6/28/2021,PLATINUM,TIFFANY - TTP,MD SQ JWLRY CASE LEA TFBL-60883300,05002597,000000P105000000121,1,8124000.00
6/28/2021,MEMBER,TIFFANY - TTP,CLRBLK LUGGAGE TAG-60927626,60085068,000000P105000000122,1,5958000.00
6/29/2021,PLATINUM,TIFFANY - TTP,PT DI LG VIC PDT-14743715,08001224,000000P105000000123,1,310501000.00
6/29/2021,PLATINUM,TIFFANY - TTP,PT VICT MD DI ER-25169328,08001224,000000P105000000123,1,292448000.00
6/29/2021,GOLD,TIFFANY - TTP,18R NRW T WIRE RG 5 5-33418868,60080377,000000P105000000124,1,28884000.00
6/29/2021,MEMBER,TIFFANY - TTP,SS BLMNRTTHRT4MMBD BLT XS-63686085,60085069,000000P105000000125,1,6229000.00
6/29/2021,MEMBER,TIFFANY - TTP,SS MINI RTT HEART STUD ER-23900564,60085069,000000P105000000125,1,6229000.00
6/29/2021,TEMP,TIFFANY - TTP,SS BL MN RTT 2HRT PDT 18-30210417,PV000171,000000P105000000126,1,5416000.00
6/30/2021,MEMBER,TIFFANY - TTP,18R T SMILE SM PDT16 18-35189432,60085071,000000P105000000130,1,26176000.00
7/1/2021,PLATINUM,TIFFANY - TTP,PT18Y CUDI 42FY DB RG-34686769,60067418,000000P105000000132,1,209408000.00
7/1/2021,PLATINUM,TIFFANY - TTP,18Y DI T SMILE SM PDT-63058785,60085072,000000P105000000133,1,68599000.00
7/1/2021,PLATINUM,TIFFANY - TTP,18Y T SMILE PDT LG 1618IN-33637179,60085072,000000P105000000133,1,36105000.00
7/1/2021,PLATINUM,TIFFANY - TTP,CLRBLK ZIP MULTFN WLT LEA-60939764,60079850,000000P105000000134,1,15526000.00
7/1/2021,PLATINUM,TIFFANY - TTP,SS EXEC TCLIP BLK BRS BP-37361348,60079850,000000P105000000134,1,7402000.00
7/1/2021,PLATINUM,TIFFANY - TTP,SS EXEC TCLIP TB BRS BPEN-37361399,60079850,000000P105000000134,1,7402000.00
7/3/2021,MEMBER,TIFFANY - TTP,SS MDRTT HRT TGKEY PDT16-26909686,60085073,000000P105000000135,1,6951000.00
7/3/2021,GOLD,TIFFANY - TTP,18R T WIRE BAR ER-62271884,27000390,000000P105000000136,1,31592000.00
7/3/2021,GOLD,TIFFANY - TTP,18R T TWO DI NRW RG 4 5-36821469,60085074,000000P105000000137,1,86652000.00
7/3/2021,GOLD,TIFFANY - TTP,18R T TWO NRW RG 9-36820632,60085074,000000P105000000137,1,43326000.00
7/3/2021,MEMBER,TIFFANY - TTP,SS 1837 NRW BASC RG 6-22993771,60085075,000000P105000000138,1,6229000.00
7/3/2021,PLATINUM,TIFFANY - TTP,PT RD DI 1 31 F VS1-69029906,60064032,000000P105000000139,1,685989000.00
7/3/2021,MEMBER,TIFFANY - TTP,18R DI T WIRE RG 5 5-35007903,60085076,000000P105000000140,1,56865000.00
7/4/2021,MEMBER,TIFFANY - TTP,SS BLMNRTTHRT4MMBD BLT XS-63686085,60085077,000000P105000000141,1,6229000.00
7/4/2021,PLATINUM,TIFFANY - TTP,18RDI TCO 4MM RG 8 5-33133111,20001130,000000P105000000142,1,43326000.00
7/4/2021,PLATINUM,TIFFANY - TTP,BEAR & BLOCK 3PC CHINASET-60559880,20001130,000000P105000000142,1,7402000.00
7/4/2021,PLATINUM,TIFFANY - TTP,PT DI TCO 4MM RG 9 5-33130775,20001130,000000P105000000142,1,62281000.00
7/5/2021,PLATINUM,TIFFANY - TTP,18R GRAFFITI X SM ER-61912606,60079969,000000P105000000143,1,17240000.00
7/5/2021,PLATINUM,TIFFANY - TTP,18Y TURQ T WIRE BLT SM-64028855,60079969,000000P105000000144,1,65892000.00
7/5/2021,PLATINUM,TIFFANY - TTP,18Y TURQ T WIRE RG 4 5-64027654,60079969,000000P105000000144,1,51450000.00
7/7/2021,PLATINUM,TIFFANY - TTP,18Y HW MEDIUM LINK NL18IN-38086758,60083449,000000P105000000145,1,223849000.00
7/8/2021,PLATINUM,TIFFANY - TTP,PT DI TIF EMB 3 HC RG6 5-16026301,24002905,000000P105000000146,1,162472000.00
7/8/2021,MEMBER,TIFFANY - TTP,SS RED RTTMN2HRTPDT1618IN-63520594,60085078,000000P105000000147,1,5416000.00
7/9/2021,MEMBER,TIFFANY - TTP,PT DI MINI TF CIRCLET ER-23954141,60085079,000000P105000000148,1,79431000.00
7/9/2021,GOLD,TIFFANY - TTP,SS MAKERS CUFF SM-63449121,59000063,000000P105000000149,1,13179000.00
7/10/2021,MEMBER,TIFFANY - TTP,SS BLMNRTTHRT4MMBD BLT XS-63686085,60085080,000000P105000000151,1,6229000.00
7/10/2021,PLATINUM,TIFFANY - TTP,18W DI T SMILE ER-36667168,60085081,000000P105000000152,1,55060000.00
7/10/2021,PLATINUM,TIFFANY - TTP,SS MN RTTL BLHRTBD BLT SM-61002421,25000030,000000P105000000153,1,8485000.00
7/10/2021,MEMBER,TIFFANY - TTP,18Y T SMILE SM PDT16 18-35189459,60085082,000000P105000000155,1,26176000.00
7/11/2021,GOLD,TIFFANY - TTP,18Y DI MN VICTORIA KEY-62866950,60065272,000000P105000000156,1,68599000.00
7/11/2021,GOLD,TIFFANY - TTP,18Y DI T WIRE RG 5 5-35008187,60065272,000000P105000000156,1,56865000.00
7/11/2021,GOLD,TIFFANY - TTP,18Y PENDANT CHAIN 18IN-21921386,60065272,000000P105000000156,1,9388000.00
7/11/2021,GOLD,TIFFANY - TTP,SS BL MNRTT 2HRT PDT 16IN-27125107,60065272,000000P105000000156,1,5416000.00
7/11/2021,MEMBER,TIFFANY - TTP,SS BLMNRTTHRT4MMBD BLT XS-63686085,60085083,000000P105000000157,1,6229000.00
7/11/2021,NEW,TIFFANY - TTP,18Y MN LVG HEART PDT16IN-34595771,60077793,000000P105000000158,1,19858000.00
7/11/2021,MEMBER,TIFFANY - TTP,18R T1 NRW RG6-67797396,60085084,000000P105000000159,1,28884000.00
